NetworkType,TrainingAlgorithm,HiddenLayers,HiddenNeurons,TimetoTrain,TimetoTest,Accuracy,SumSquaredError,MeanSquaredError
traingd,1.042,0.011838,1,1,71.6667,28.3333,28.3333,
traingd,1.0908,0.010913,1,2,36.6667,63.3333,63.3333,
traingd,1.0649,0.011123,1,3,73.3333,26.6667,26.6667,
traingd,1.1073,0.011159,1,4,71.6667,28.3333,28.3333,
traingd,1.0814,0.012296,1,5,83.3333,16.6667,16.6667,
traingd,1.1415,0.010984,1,10,83.3333,16.6667,16.6667,
traingd,1.1563,0.011447,1,15,85,15,15,
traingd,1.2357,0.011833,1,20,88.3333,11.6667,11.6667,
traingd,1.2757,0.011305,1,25,86.6667,13.3333,13.3333,
traingd,1.3,0.011022,1,30,91.6667,8.3333,8.3333,
traingd,1.3214,0.011779,1,35,88.3333,11.6667,11.6667,
traingd,1.3943,0.010939,1,40,85,15,15,
traingd,1.4002,0.011146,1,45,95,5,5,
traingd,1.617,0.013702,1,50,81.6667,18.3333,18.3333,
traingd,1.4003,0.011729,1,55,83.3333,16.6667,16.6667,
traingd,1.3728,0.011786,1,60,88.3333,11.6667,11.6667,
traingd,1.4437,0.011754,1,65,88.3333,11.6667,11.6667,
traingd,1.5307,0.011584,1,70,88.3333,11.6667,11.6667,
traingd,1.5096,0.011755,1,80,83.3333,16.6667,16.6667,
traingd,1.572,0.01171,1,90,88.3333,11.6667,11.6667,
traingd,2.0588,0.016614,1,100,85,15,15,
traingd,2.0029,0.01213,1,110,90,10,10,
traingd,1.9296,0.012235,1,120,93.3333,6.6667,6.6667,
traingd,2.1854,0.015314,1,130,78.3333,21.6667,21.6667,
traingd,2.1291,0.015313,1,140,95,5,5,
traingd,3.041,0.015296,1,150,81.6667,18.3333,18.3333,
traingd,2.4449,0.012853,1,160,88.3333,11.6667,11.6667,
traingd,3.2272,0.012789,1,170,85,15,15,
traingd,4.091,0.012323,1,180,85,15,15,
traingd,3.6405,0.01203,1,190,81.6667,18.3333,18.3333,
traingd,1.1445,0.014545,1,200,86.6667,13.3333,13.3333,
traingd,1.8316,0.020203,2,1,50,50,50,
traingd,1.9467,0.01747,2,2,63.3333,36.6667,36.6667,
traingd,1.5175,0.01472,2,3,53.3333,46.6667,46.6667,
traingd,1.3922,0.017804,2,4,81.6667,18.3333,18.3333,
traingd,1.5028,0.015125,2,5,68.3333,31.6667,31.6667,
traingd,1.6186,0.013225,2,10,68.3333,31.6667,31.6667,
traingd,1.8842,0.015574,2,15,91.6667,8.3333,8.3333,
traingd,1.7045,0.014161,2,20,93.3333,6.6667,6.6667,
traingd,1.8019,0.013066,2,25,90,10,10,
traingd,1.6743,0.013363,2,30,83.3333,16.6667,16.6667,
traingd,2.0566,0.016034,2,35,93.3333,6.6667,6.6667,
traingd,1.9666,0.015378,2,40,90,10,10,
traingd,2.0827,0.013678,2,45,86.6667,13.3333,13.3333,
traingd,2.3887,0.016038,2,50,88.3333,11.6667,11.6667,
traingd,3.3539,0.013336,2,55,83.3333,16.6667,16.6667,
traingd,2.3228,0.013449,2,60,91.6667,8.3333,8.3333,
traingd,2.3694,0.013335,2,65,86.6667,13.3333,13.3333,
traingd,2.5099,0.013554,2,70,85,15,15,
traingd,2.7265,0.013429,2,80,86.6667,13.3333,13.3333,
traingd,2.9308,0.013545,2,90,85,15,15,
traingd,3.1528,0.013942,2,100,91.6667,8.3333,8.3333,
traingd,3.4653,0.01476,2,110,90,10,10,
traingd,4.0791,0.014276,2,120,86.6667,13.3333,13.3333,
traingd,4.023,0.014291,2,130,86.6667,13.3333,13.3333,
traingd,4.348,0.01471,2,140,93.3333,6.6667,6.6667,
traingd,4.6051,0.01416,2,150,86.6667,13.3333,13.3333,
traingd,0.4329,0.014442,2,160,90,10,10,
traingd,5.574,0.015403,2,170,86.6667,13.3333,13.3333,
traingd,5.5726,0.014525,2,180,88.3333,11.6667,11.6667,
traingd,5.8044,0.015132,2,190,93.3333,6.6667,6.6667,
traingd,6.3076,0.01512,2,200,88.3333,11.6667,11.6667,
traingd,1.2544,0.014577,3,1,63.3333,36.6667,36.6667,
traingd,1.5778,0.017983,3,2,40,60,60,
traingd,1.4536,0.0147,3,3,51.6667,48.3333,48.3333,
traingd,1.382,0.014312,3,4,70,30,30,
traingd,1.3776,0.015238,3,5,58.3333,41.6667,41.6667,
traingd,1.51,0.014937,3,10,86.6667,13.3333,13.3333,
traingd,1.5634,0.014449,3,15,80,20,20,
traingd,1.629,0.014862,3,20,95,5,5,
traingd,1.8191,0.014488,3,25,98.3333,1.6667,1.6667,
traingd,1.8873,0.014628,3,30,91.6667,8.3333,8.3333,
traingd,2.2991,0.014673,3,35,85,15,15,
traingd,2.3849,0.016277,3,40,83.3333,16.6667,16.6667,
traingd,2.531,0.015223,3,45,90,10,10,
traingd,2.6538,0.015962,3,50,90,10,10,
traingd,2.7791,0.014898,3,55,86.6667,13.3333,13.3333,
traingd,3.0057,0.015429,3,60,91.6667,8.3333,8.3333,
traingd,3.1248,0.015172,3,65,86.6667,13.3333,13.3333,
traingd,3.31,0.016172,3,70,90,10,10,
traingd,4.5413,0.015197,3,80,85,15,15,
traingd,5.1216,0.015301,3,90,88.3333,11.6667,11.6667,
traingd,4.3784,0.015936,3,100,95,5,5,
traingd,4.9193,0.01574,3,110,85,15,15,
traingd,5.3053,0.016484,3,120,90,10,10,
traingd,5.7097,0.01607,3,130,88.3333,11.6667,11.6667,
traingd,6.3652,0.016497,3,140,95,5,5,
traingd,7.2969,0.016976,3,150,86.6667,13.3333,13.3333,
traingd,7.0918,0.016523,3,160,90,10,10,
traingd,7.79,0.017009,3,170,85,15,15,
traingd,8.2199,0.017382,3,180,86.6667,13.3333,13.3333,
traingd,8.8886,0.018319,3,190,86.6667,13.3333,13.3333,
traingd,9.4501,0.017747,3,200,90,10,10,
